kernel_name,dtype,input_size,runtime,correct,device_name
vecadd_basic,FP32,64,2.981888,PASS,CUDA
vecadd_basic,FP64,64,0.112640,PASS,CUDA
vecadd_basic,FP32,256,0.033792,PASS,CUDA
vecadd_basic,FP64,256,0.057344,PASS,CUDA
vecadd_basic,FP32,1024,0.168960,PASS,CUDA
vecadd_basic,FP64,1024,0.033792,PASS,CUDA
vecadd_basic,FP32,4096,0.035840,PASS,CUDA
vecadd_basic,FP64,4096,0.033792,PASS,CUDA
dot_global,FP32,256,0.065536,PASS,CUDA
dot_global,FP64,256,0.111616,PASS,CUDA
dot_global,FP32,1024,0.058368,PASS,CUDA
dot_global,FP64,1024,0.030720,PASS,CUDA
dot_global,FP32,4096,0.039936,PASS,CUDA
dot_global,FP64,4096,0.065536,PASS,CUDA
dot_shared,FP32,256,0.032768,PASS,CUDA
dot_shared,FP64,256,0.036864,PASS,CUDA
dot_shared,FP32,1024,0.034816,PASS,CUDA
dot_shared,FP64,1024,0.033792,PASS,CUDA
dot_shared,FP32,4096,0.053248,PASS,CUDA
dot_shared,FP64,4096,0.031744,PASS,CUDA
gemv_global,FP32,16,0.108544,PASS,CUDA
gemv_global,FP64,16,0.056320,PASS,CUDA
gemv_global,FP32,32,0.029696,PASS,CUDA
gemv_global,FP64,32,0.039936,PASS,CUDA
gemv_global,FP32,64,0.053248,PASS,CUDA
gemv_global,FP64,64,0.035840,PASS,CUDA
gemv_global,FP32,128,0.067584,PASS,CUDA
gemv_global,FP64,128,0.035840,PASS,CUDA
matmul_global,FP32,16,0.134144,PASS,CUDA
matmul_global,FP64,16,0.063488,PASS,CUDA
matmul_global,FP32,32,0.031744,PASS,CUDA
matmul_global,FP64,32,0.063488,PASS,CUDA
matmul_global,FP32,64,0.031744,PASS,CUDA
matmul_global,FP64,64,0.038912,PASS,CUDA
matmul_global,FP32,128,0.047104,PASS,CUDA
matmul_global,FP64,128,0.100160,PASS,CUDA
matmul_shared,FP32,16,0.062464,PASS,CUDA
matmul_shared,FP64,16,0.090112,PASS,CUDA
matmul_shared,FP32,32,0.034816,PASS,CUDA
matmul_shared,FP64,32,0.102400,PASS,CUDA
matmul_shared,FP32,64,0.036864,PASS,CUDA
matmul_shared,FP64,64,0.052224,PASS,CUDA
matmul_shared,FP32,128,0.048128,PASS,CUDA
matmul_shared,FP64,128,0.090016,PASS,CUDA
reduction_global,FP32,256,0.037888,PASS,CUDA
reduction_global,FP64,256,0.084992,PASS,CUDA
reduction_global,FP32,1024,0.032768,PASS,CUDA
reduction_global,FP64,1024,0.038912,PASS,CUDA
reduction_global,FP32,4096,0.034816,PASS,CUDA
reduction_global,FP64,4096,0.033792,PASS,CUDA
reduction_shared,FP32,256,0.034816,PASS,CUDA
