kernel_name,dtype,input_size,runtime_ms,correct,device_name,gws0,gws1,gws2,lws0,lws1,lws2,flops_est,bw_GBps
vecadd_basic,FP32,64,0.097597,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,64,0.00786909
vecadd_basic,FP64,64,0.066763,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,64,0.0230068
vecadd_basic,FP32,256,0.007003,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.438669
vecadd_basic,FP64,256,0.014485,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.424163
vecadd_basic,FP32,1024,0.044481,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.276253
vecadd_basic,FP64,1024,0.129638,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.189574
vecadd_basic,FP32,4096,0.040847,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,1.20332
vecadd_basic,FP64,4096,0.1252,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,0.785176
dot_global,FP32,256,0.082178,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.0373823
dot_global,FP64,256,0.087832,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.0699517
dot_global,FP32,1024,0.040792,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,2048,0.301236
dot_global,FP64,1024,0.027281,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,2048,0.900847
dot_global,FP32,4096,0.040997,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,8192,1.19892
dot_global,FP64,4096,0.019477,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,8192,5.04718
dot_shared,FP32,256,0.102291,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.030032
dot_shared,FP64,256,0.135576,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.0453178
dot_shared,FP32,1024,0.054395,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,2048,0.225903
dot_shared,FP64,1024,0.050975,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,2048,0.482119
dot_shared,FP32,4096,0.033578,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,8192,1.46382
dot_shared,FP64,4096,0.060322,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,8192,1.62965
gemv_global,FP32,16,0.124804,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.00923047
gemv_global,FP64,16,0.060653,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.0379866
gemv_global,FP32,32,0.002459,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,2048,1.76983
gemv_global,FP64,32,0.002152,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,2048,4.04461
gemv_global,FP32,64,0.002981,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,8192,5.6679
gemv_global,FP64,64,0.012665,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,8192,2.66814
gemv_global,FP32,128,0.027695,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,32768,2.40332
gemv_global,FP64,128,0.069001,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,32768,1.92925
matmul_global,FP32,16,0.147468,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,8192,0.0208316
matmul_global,FP64,16,0.104838,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,8192,0.0586047
matmul_global,FP32,32,0.050289,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,65536,0.244348
matmul_global,FP64,32,0.061115,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,65536,0.402127
matmul_global,FP32,64,0.057062,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,524288,0.861379
matmul_global,FP64,64,0.070812,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,524288,1.38824
